timestamp,open,high,low,close,volume,rsi_14,macd,macd_signal,macd_histogram,atr_14,ema_20,ema_50,ema_150,bollinger_upper_20,bollinger_lower_20,return_5,volatility_20,session
2021-01-22,125.929,126.401,125.851,126.282,59543,51.24022038333367,-0.13863280849348314,-0.08002966848673036,-0.05860314000675278,0.6722913181286092,126.14638888187517,126.24738484583571,126.28123547604093,,,0.006720397962356239,,Tokyo
2021-01-25,126.286,126.368,125.807,125.972,60607,47.24856043484372,-0.13437965246588135,-0.09089966528256056,-0.04347998718332079,0.6608447343295415,126.12978041693468,126.23658544011667,126.2771396419212,,,0.00611791767167702,,Tokyo
2021-01-26,125.955,126.159,125.689,125.982,60500,47.39093294342113,-0.12871829486628883,-0.09846339119930622,-0.030254903666982608,0.6418139096017335,126.11570609151232,126.226601697367,126.27323050759111,,,-0.0002698070086338822,,Tokyo
2021-01-27,125.993,126.187,125.597,126.055,79369,48.483986922871445,-0.11699252130688365,-0.10216921722082171,-0.01482330408606193,0.6367892338123073,126.10992455898734,126.21987221903888,126.27034003729189,,,0.005808804168295767,,Tokyo
2021-01-28,126.051,126.664,125.988,126.34,85535,52.6226358498233,-0.08373737083947219,-0.09848284794455181,0.014745477105079619,0.6404969928713006,126.13183650575046,126.2245831124099,126.27126268580459,,,0.0033673242479113075,,Tokyo
2021-01-29,126.34,127.344,126.119,127.089,95246,61.399360666427896,0.0030207940092310537,-0.07818211955379524,0.0812029135630263,0.6945178684927619,126.22299493377423,126.25848181388403,126.2820936436085,127.42951900593775,125.10238099406226,0.006390459447902286,,Tokyo
2021-02-01,127.081,127.133,126.52,126.527,72446,53.405016813978804,0.026127381352125667,-0.05732021937261106,0.08344760072473673,0.6871387449301176,126.2519477972243,126.26901193882976,126.2853374364084,127.44716062528366,125.10833937471634,0.004405740958308257,0.003760210136511301,Tokyo
2021-02-02,126.531,126.822,126.266,126.417,68011,51.978478018764164,0.035158156263477736,-0.0388245442453933,0.07398270050887104,0.6754902669745987,126.26766705463152,126.27481539220899,126.28708131142285,127.4565244727543,125.1144755272457,0.003452874220126745,0.003765824018856796,Tokyo
2021-02-03,126.414,126.525,126.143,126.407,57343,51.84290201356759,0.04103516616538627,-0.022852602163237385,0.06388776832862365,0.649866593182951,126.28093685895232,126.27999910231846,126.28866963842388,127.38445253907925,125.12974746092077,0.002792431874975021,0.0035304267300484684,Tokyo
2021-02-04,126.401,126.462,126.098,126.229,60097,49.3742251160832,0.03097259368209393,-0.012087562994171124,0.04306015667626505,0.6252986115419304,126.27599049143305,126.27799913752166,126.28787931208714,127.2013213814327,125.19977861856728,-0.0008785816051923856,0.0034539141666376956,Tokyo
2021-02-05,126.236,126.993,126.141,126.977,62236,58.349732740727084,0.08240536346092142,0.006811022296847385,0.07559434116407404,0.6445030848420615,126.34275330177276,126.30541093605022,126.29700673841712,127.18063022594569,125.21126977405433,-0.0008812721793388656,0.0037012651082694494,Tokyo
2021-02-08,126.804,127.125,126.647,126.768,58294,55.394553842338915,0.1050902359262551,0.02646686502272893,0.07862337090352617,0.6305830830854449,126.38325298731822,126.3235516836561,126.30324505976259,127.19667633632042,125.20522366367956,0.001904731796375403,0.0036491260197546384,Tokyo
2021-02-09,126.768,126.848,126.436,126.7,66702,54.4286808456179,0.11624117320336325,0.0444217266588558,0.07181944654450745,0.6125288687850655,126.41341936947838,126.33831436272843,126.30850009208362,127.20530626070503,125.202393739295,0.002238622970011983,0.003651046724900761,Tokyo
2021-02-10,126.703,127.076,126.645,126.751,58921,55.06155440050593,0.127721352856895,0.06108165189846364,0.06663970095843137,0.59770080560531,126.44556990571853,126.35449811320966,126.31436101801629,127.25812042255582,125.19667957744416,0.002721368278655545,0.0035876835890687898,Tokyo
2021-02-11,126.751,127.162,126.7,127.04,46939,58.57251732084976,0.1583144126668401,0.08052820405213892,0.07778620861470117,0.5867287040227906,126.5021822956501,126.38138054014262,126.32397213036045,127.36364848786256,125.18035151213745,0.006424831061008218,0.0036045411135670067,Tokyo
2021-02-12,127.054,127.304,126.874,127.157,49884,59.937171187983544,0.18981251465280025,0.1023850661722712,0.08742744848052905,0.5741747300443438,126.56454588654057,126.41179698954878,126.33500561207752,127.44391810588763,125.27188189411237,0.001417579561652893,0.0033179913746629467,Tokyo
2021-02-15,127.168,127.972,127.124,127.784,43118,66.336811646657,0.26234450322125724,0.13437695358206841,0.12796754963918883,0.5959195829273181,126.6806843735367,126.46560887231158,126.3541975907255,127.60853748688078,125.3650625131192,0.008014640918843963,0.003390334769662748,Tokyo
2021-02-16,127.806,128.373,127.656,128.355,67001,70.89629372978223,0.3617317363934518,0.1798479101443451,0.1818838262491067,0.6054586019775455,126.84014300462844,126.53970264202485,126.38069828488808,127.97809185205712,125.22940814794292,0.013062352012628065,0.003248854445004385,Tokyo
2021-02-17,128.349,128.453,127.308,127.454,66557,57.63167243944204,0.3636022839056352,0.2165987848966031,0.1470034990090321,0.6476547194198664,126.8986055756162,126.57555744037683,126.39491420164454,127.9947053500056,125.42549464999436,0.005546307326963706,0.003424837425884149,Tokyo
2021-02-18,127.454,127.808,127.329,127.773,54302,60.45289043731158,0.386371490259549,0.25055332596919233,0.13581816429035665,0.6345534869262329,126.98188123508132,126.62251597212675,126.41316699367574,128.11405567641845,125.4918443235815,0.005769836272040196,0.0033290570164584334,Tokyo
2021-02-19,127.765,128.184,127.65,127.741,52688,60.02112938222877,0.3972548115879988,0.2798936230929536,0.11736118849504518,0.6267909453723642,127.05417826031167,126.66637809086689,126.4307541858125,128.22671696917473,125.52508303082526,0.0045927475483065194,0.003295348139934836,Tokyo
2021-02-22,127.604,128.245,127.506,127.719,62353,59.70541273186915,0.39949952417767065,0.3038148033098971,0.09568472086777358,0.6354035838467864,127.11749461647247,126.70765738142113,126.44781704427857,128.29374557446994,125.63275442553004,-0.0005086708821137043,0.0032235075345920954,Tokyo
2021-02-23,127.721,128.056,127.636,127.87,58771,61.2134545136593,0.4087510850479106,0.3248020596574998,0.08394902539041077,0.6189578213461319,127.18916179585605,126.75323944489482,126.46665390461925,128.3626730528312,125.75262694716876,-0.0037785828366638796,0.0032219645887468186,Tokyo
2021-02-24,127.874,128.876,127.681,128.774,81119,68.75308378719795,0.4834552870397175,0.3565327051339434,0.1269225819057741,0.6627225127797602,127.3400987676793,126.83248495685973,126.49721478005476,128.61971410187925,125.76748589812078,0.010356677703328376,0.0035155753066739674,Tokyo
