timestamp,open,high,low,close,volume,pair
2026-05-04,1.1726078987121582,1.17384672164917,1.1690847873687744,1.1726628541946411,0,EURUSD
2026-05-05,1.1691941022872925,1.1716461181640625,1.1677467823028564,1.1691941022872925,0,EURUSD
2026-05-06,1.1715089082717896,1.1796625852584839,1.1712619066238403,1.1715774536132812,0,EURUSD
2026-05-07,1.1748120784759521,1.177994966506958,1.1746740341186523,1.1747430562973022,0,EURUSD
2026-05-08,1.1730892658233643,1.178467035293579,1.172525405883789,1.1731581687927246,0,EURUSD
2026-05-11,1.176885962486267,1.1789672374725342,1.174936294555664,1.176885962486267,0,EURUSD
2026-05-12,1.1775649785995483,1.1778563261032104,1.1723054647445679,1.177994966506958,0,EURUSD
2026-05-13,1.173626184463501,1.1742602586746216,1.1696317195892334,1.1735436916351318,0,EURUSD
2026-05-14,1.171783447265625,1.1721543073654175,1.1672425270080566,1.1716049909591675,0,EURUSD
2026-05-15,1.1662487983703613,1.1664528846740723,1.1618314981460571,1.166208028793335,0,EURUSD
2026-05-18,1.1617100238800049,1.1659088134765625,1.1609008312225342,1.161440134048462,0,EURUSD
2026-05-19,1.1654061079025269,1.1655012369155884,1.1593127250671387,1.1655147075653076,0,EURUSD
2026-05-20,1.1605371236801147,1.1644154787063599,1.1583592891693115,1.1607122421264648,0,EURUSD
2026-05-21,1.1625068187713623,1.1637378931045532,1.1577290296554565,1.1625338792800903,0,EURUSD
2026-05-22,1.1615750789642334,1.1618449687957764,1.1589365005493164,1.1621150970458984,0,EURUSD
2026-05-25,1.1640766859054565,1.1655012369155884,1.1630340814590454,1.164225697517395,0,EURUSD
2026-05-26,1.1636160612106323,1.164686679840088,1.161737084388733,1.1637378931045532,0,EURUSD
2026-05-27,1.1638598442077637,1.1660856008529663,1.1623852252960205,1.1636837720870972,0,EURUSD
2026-05-28,1.1617640256881714,1.1657729148864746,1.1587486267089844,1.1617909669876099,0,EURUSD
2026-05-29,1.165338158607483,1.1685519218444824,1.1625880002975464,1.1652837991714478,0,EURUSD
2026-06-01,1.164808750152588,1.1667250394821167,1.1607391834259033,1.164890170097351,0,EURUSD
2026-06-02,1.1635618209838867,1.1655012369155884,1.162912368774414,1.1635483503341675,0,EURUSD
2026-06-03,1.1621556282043457,1.163602590560913,1.1595412492752075,1.1622096300125122,0,EURUSD
2026-06-04,1.1609278917312622,1.164686679840088,1.1599044799804688,1.160941243171692,0,EURUSD
2026-06-05,1.161440134048462,1.1645511388778687,1.1531099081039429,1.1612648963928223,0,EURUSD
2026-06-08,1.1524720191955566,1.155428171157837,1.1500862836837769,1.1522595882415771,0,EURUSD
2026-06-09,1.152790904045105,1.1578094959259033,1.152790904045105,1.1528440713882446,0,EURUSD
2026-06-10,1.1535356044769287,1.1574074029922485,1.15340256690979,1.1535356044769287,0,EURUSD
2026-06-11,1.1538017988204956,1.1558021306991577,1.151450276374817,1.1535621881484985,0,EURUSD
2026-06-12,1.1573537588119507,1.159151554107666,1.1558021306991577,1.157594919204712,0,EURUSD
2026-06-15,1.160644769668579,1.16225004196167,1.1594606637954712,1.1603081226348877,0,EURUSD
2026-06-16,1.1592857837677002,1.1618449687957764,1.1575413942337036,1.1594202518463135,0,EURUSD
2026-06-17,1.1609278917312622,1.1618449687957764,1.1586545705795288,1.1609952449798584,0,EURUSD
2026-06-18,1.151145339012146,1.1530035734176636,1.1454228162765503,1.150734782218933,0,EURUSD
2026-06-19,1.1463946104049683,1.1475785970687866,1.1418262720108032,1.1458560228347778,0,EURUSD
2026-06-22,1.1463682651519775,1.147315263748169,1.1426090002059937,1.1462763547897339,0,EURUSD
2026-06-23,1.1425306797027588,1.1439030170440674,1.137669324874878,1.1427135467529297,0,EURUSD
2026-06-24,1.1379282474517822,1.1384334564208984,1.132541298866272,1.1379542350769043,0,EURUSD
2026-06-25,1.135344386100769,1.1388354301452637,1.1334270238876343,1.1354217529296875,0,EURUSD
2026-06-26,1.1363893747329712,1.1433929204940796,1.135486125946045,1.1361699104309082,0,EURUSD
2026-06-29,1.1384464502334595,1.1425960063934326,1.1381744146347046,1.1385631561279297,0,EURUSD
2026-06-30,1.1418914794921875,1.1434452533721924,1.1383298635482788,1.1422044038772583,0,EURUSD
2026-07-01,1.141252875328064,1.1416828632354736,1.1362087726593018,1.1413310766220093,0,EURUSD
2026-07-02,1.1377859115600586,1.1471705436706543,1.1375399827957153,1.13779878616333,0,EURUSD
2026-07-03,1.142374038696289,1.1465259790420532,1.1421130895614624,1.1422696113586426,0,EURUSD
2026-07-06,1.1435890197753906,1.144426703453064,1.1409794092178345,1.1437721252441406,0,EURUSD
2026-07-07,1.1442302465438843,1.1447148323059082,1.1422958374023438,1.144177794456482,0,EURUSD
2026-07-08,1.1400948762893677,1.1432491540908813,1.1391856670379639,1.140380859375,0,EURUSD
2026-07-09,1.1421914100646973,1.145081877708435,1.142126202583313,1.1422044038772583,0,EURUSD
2026-07-10,1.143379807472229,1.1462632417678833,1.1418392658233643,1.1433405876159668,0,EURUSD
2026-07-13,1.140367865562439,1.1445707082748413,1.1386798620224,1.1404459476470947,0,EURUSD
2026-07-14,1.1383687257766724,1.1461317539215088,1.1378765106201172,1.1384334564208984,0,EURUSD
2026-07-15,1.1425436735153198,1.1445575952529907,1.1406540870666504,1.1424654722213745,0,EURUSD
2026-07-16,1.147315263748169,1.1478420495986938,1.143837571144104,1.1470258235931396,0,EURUSD
2026-07-17,1.144688606262207,1.1453442573547363,1.1425436735153198,1.1444659233093262,0,EURUSD
2026-07-20,1.1427135467529297,1.1449507474899292,1.1405240297317505,1.142765760421753,0,EURUSD
2026-07-21,1.1416046619415283,1.1428571939468384,1.1403288841247559,1.1418131589889526,0,EURUSD
2026-07-22,1.1401728391647339,1.1421130895614624,1.1399649381637573,1.140380859375,0,EURUSD
2026-07-23,1.141265869140625,1.1437721252441406,1.1365057229995728,1.1411746740341187,0,EURUSD
2026-07-24,1.137617588043213,1.1399909257888794,1.1367511749267578,1.137682318687439,0,EURUSD
2026-07-27,1.1397830247879028,1.1418131589889526,1.1369967460632324,1.1394972801208496,0,EURUSD
2026-07-28,1.1368545293807983,1.140185832977295,1.1354475021362305,1.1369450092315674,0,EURUSD
2026-07-29,1.1383816003799438,1.1405109167099,1.1375917196273804,1.1386538743972778,0,EURUSD
2026-07-30,1.1467890739440918,1.1534823179244995,1.1435366868972778,1.1467232704162598,0,EURUSD
2026-07-31,1.1526048183441162,1.1526048183441162,1.1459085941314697,1.1523525714874268,0,EURUSD
2026-08-03,1.1540014743804932,1.1555217504501343,1.1502846479415894,1.154401183128357,0,EURUSD
2026-08-04,1.151410460472107,1.1518083810806274,1.1506155729293823,1.151145339012146,0,EURUSD
